number,precinct,office,district,party,office,votes
62729559,Parkland 559,U S Senate,29,L,Bruce Guthrie,7
62729560,Parkland 560,U S Senate,29,L,Bruce Guthrie,13
62729561,561,U S Senate,29,L,Bruce Guthrie,0
62729562,562,U S Senate,29,L,Bruce Guthrie,0
92729563,563,U S Senate,29,L,Bruce Guthrie,7
92729564,564,U S Senate,29,L,Bruce Guthrie,14
92729565,565,U S Senate,29,L,Bruce Guthrie,7
62729566,566,U S Senate,29,L,Bruce Guthrie,0
92731601,Edgewood 601,U S Senate,31,L,Bruce Guthrie,5
92731602,Edgewood 602,U S Senate,31,L,Bruce Guthrie,23
92731603,Edgewood 603,U S Senate,31,L,Bruce Guthrie,19
92731604,Edgewood 604,U S Senate,31,L,Bruce Guthrie,3
92731608,Pacific 608,U S Senate,31,L,Bruce Guthrie,0
92731611,Sumner 611,U S Senate,31,L,Bruce Guthrie,0
92731612,Sumner 612,U S Senate,31,L,Bruce Guthrie,0
92731613,Sumner 613,U S Senate,31,L,Bruce Guthrie,0
92731614,Sumner 614,U S Senate,31,L,Bruce Guthrie,28
92731615,Sumner 615,U S Senate,31,L,Bruce Guthrie,11
92731616,Sumner 616,U S Senate,31,L,Bruce Guthrie,19
82731617,Sumner 617,U S Senate,31,L,Bruce Guthrie,0
82731618,Auburn 618,U S Senate,31,L,Bruce Guthrie,0
82731619,Auburn 619,U S Senate,31,L,Bruce Guthrie,24
82731621,Bonney Lake 621,U S Senate,31,L,Bruce Guthrie,10
82731622,Bonney Lake 622,U S Senate,31,L,Bruce Guthrie,26
82731623,Bonney Lake 623,U S Senate,31,L,Bruce Guthrie,10
82731624,Bonney Lake 624,U S Senate,31,L,Bruce Guthrie,11
82731625,Bonney Lake 625,U S Senate,31,L,Bruce Guthrie,12
82731626,Bonney Lake 626,U S Senate,31,L,Bruce Guthrie,0
82731627,Buckley 627,U S Senate,31,L,Bruce Guthrie,8
82731628,Buckley 628,U S Senate,31,L,Bruce Guthrie,11
82731629,South Prairie city 629,U S Senate,31,L,Bruce Guthrie,2
82731630,Wilkeson 630,U S Senate,31,L,Bruce Guthrie,5
92731631,Puyallup 631,U S Senate,31,L,Bruce Guthrie,0
92731636,Sumner 636,U S Senate,31,L,Bruce Guthrie,0
82731638,Lake Tapps 638,U S Senate,31,L,Bruce Guthrie,16
82731639,Lake Tapps 639,U S Senate,31,L,Bruce Guthrie,6
82731640,Lake Tapps 640,U S Senate,31,L,Bruce Guthrie,16
82731641,Lake Tapps 641,U S Senate,31,L,Bruce Guthrie,0
82731642,Lake Tapps 642,U S Senate,31,L,Bruce Guthrie,9
92731643,643,U S Senate,31,L,Bruce Guthrie,0
92731644,644,U S Senate,31,L,Bruce Guthrie,2
82731645,645,U S Senate,31,L,Bruce Guthrie,3
82731646,646,U S Senate,31,L,Bruce Guthrie,5
82731647,647,U S Senate,31,L,Bruce Guthrie,1
82731648,648,U S Senate,31,L,Bruce Guthrie,0
82731649,649,U S Senate,31,L,Bruce Guthrie,2
82731650,Lake Tapps 650,U S Senate,31,L,Bruce Guthrie,7
82731651,Lake Tapps 651,U S Senate,31,L,Bruce Guthrie,2
82731652,Lake Tapps 652,U S Senate,31,L,Bruce Guthrie,5
82731653,Lake Tapps 653,U S Senate,31,L,Bruce Guthrie,7
82731654,654,U S Senate,31,L,Bruce Guthrie,2
82731655,655,U S Senate,31,L,Bruce Guthrie,11
82731656,656,U S Senate,31,L,Bruce Guthrie,8
82731657,657,U S Senate,31,L,Bruce Guthrie,6
82731658,658,U S Senate,31,L,Bruce Guthrie,18
82731659,659,U S Senate,31,L,Bruce Guthrie,13
82731660,660,U S Senate,31,L,Bruce Guthrie,3
82731661,661,U S Senate,31,L,Bruce Guthrie,0
82731662,662,U S Senate,31,L,Bruce Guthrie,8
82731663,663,U S Senate,31,L,Bruce Guthrie,2
82731664,664,U S Senate,31,L,Bruce Guthrie,1
82731665,665,U S Senate,31,L,Bruce Guthrie,8
82731666,South Prairie 666,U S Senate,31,L,Bruce Guthrie,4
82731667,South Prairie 667,U S Senate,31,L,Bruce Guthrie,2
82731668,SP wilkeson rural 668,U S Senate,31,L,Bruce Guthrie,1
82731669,SP wilkeson rural 669,U S Senate,31,L,Bruce Guthrie,0
82731670,South Prairie 670,U S Senate,31,L,Bruce Guthrie,1
82731671,Snoqualmie 671,U S Senate,31,L,Bruce Guthrie,0
82731672,672,U S Senate,31,L,Bruce Guthrie,3
82731673,Crystal Mtn 673,U S Senate,31,L,Bruce Guthrie,2
92702001,Roy 1,U S Senate,2,I,Robin Adair,2
82702002,Orting 2,U S Senate,2,I,Robin Adair,5
82702003,Orting 3,U S Senate,2,I,Robin Adair,10
82702004,Wilkeson 4,U S Senate,2,I,Robin Adair,0
82702005,Carbonado 5,U S Senate,2,I,Robin Adair,5
82702006,Eatonville 6,U S Senate,2,I,Robin Adair,4
92702011,Spanaway 011,U S Senate,2,I,Robin Adair,11
92702012,Spanaway 012,U S Senate,2,I,Robin Adair,4
92702013,Spanaway 013,U S Senate,2,I,Robin Adair,0
92702014,Spanaway 014,U S Senate,2,I,Robin Adair,5
92702015,Spanaway 015,U S Senate,2,I,Robin Adair,8
92702016,Spanaway 016,U S Senate,2,I,Robin Adair,9
92702017,Spanaway 017,U S Senate,2,I,Robin Adair,10
92702018,Spanaway 018,U S Senate,2,I,Robin Adair,11
92702019,Spanaway 019,U S Senate,2,I,Robin Adair,7
92702020,Frederickson 020,U S Senate,2,I,Robin Adair,3
82702021,Frederickson 021,U S Senate,2,I,Robin Adair,0
82702022,Frederickson 022,U S Senate,2,I,Robin Adair,1
82702023,Frederickson 023,U S Senate,2,I,Robin Adair,9
92702024,Frederickson 024,U S Senate,2,I,Robin Adair,3
82702025,Frederickson 025,U S Senate,2,I,Robin Adair,8
82702026,Graham 026,U S Senate,2,I,Robin Adair,17
92702027,Graham 027,U S Senate,2,I,Robin Adair,5
92702028,Graham 028,U S Senate,2,I,Robin Adair,11
92702029,Graham 029,U S Senate,2,I,Robin Adair,1
92702030,Graham 030,U S Senate,2,I,Robin Adair,2
92702031,Graham 031,U S Senate,2,I,Robin Adair,2
92702032,Graham 032,U S Senate,2,I,Robin Adair,4
92702033,Graham 033,U S Senate,2,I,Robin Adair,10
92702034,Graham 034,U S Senate,2,I,Robin Adair,9
82702035,Graham 035,U S Senate,2,I,Robin Adair,2
92702036,E Roy 036,U S Senate,2,I,Robin Adair,6
92702037,E Graham 037,U S Senate,2,I,Robin Adair,14
92702038,Graham 038,U S Senate,2,I,Robin Adair,11
82702039,Graham 039,U S Senate,2,I,Robin Adair,12
92702040,Yelm rural Brighton 040,U S Senate,2,I,Robin Adair,11
92702041,Yelm rural Harts Lake 041,U S Senate,2,I,Robin Adair,6
92702042,Graham 042,U S Senate,2,I,Robin Adair,7
92702043,Yelm rural Kruger 043,U S Senate,2,I,Robin Adair,2
82702044,Graham 044,U S Senate,2,I,Robin Adair,7
82702045,Graham 045,U S Senate,2,I,Robin Adair,5
82702046,Alderton 046,U S Senate,2,I,Robin Adair,0
82702047,Graham 047,U S Senate,2,I,Robin Adair,6
82702048,Graham 048,U S Senate,2,I,Robin Adair,15
82702049,Voights Creek 049,U S Senate,2,I,Robin Adair,6
82702050,Lake Kapowsin 050,U S Senate,2,I,Robin Adair,12
82702051,Kings Creek 051,U S Senate,2,I,Robin Adair,0
82702052,Graham Tanwax Lake 052,U S Senate,2,I,Robin Adair,7
82702053,Chop Lake 053,U S Senate,2,I,Robin Adair,9
82702054,Little Mashel 054,U S Senate,2,I,Robin Adair,3
82702055,E Eatonville 055,U S Senate,2,I,Robin Adair,0
82702056,Alder Lake 056,U S Senate,2,I,Robin Adair,2
82702057,W Mt Rainier 057,U S Senate,2,I,Robin Adair,0
82702058,Mt Rainier 058,U S Senate,2,I,Robin Adair,0
82702059,Alderton 059,U S Senate,2,I,Robin Adair,8
82702060,Alderton 060,U S Senate,2,I,Robin Adair,4
82702061,Alderton 061,U S Senate,2,I,Robin Adair,2
82702062,Alderton 062,U S Senate,2,I,Robin Adair,2
82702063,Orting Lake 063,U S Senate,2,I,Robin Adair,2
82702064,Carbon River 064,U S Senate,2,I,Robin Adair,3
92702065,Fort Lewis 065,U S Senate,2,I,Robin Adair,0
92725101,Puyallup 101,U S Senate,25,I,Robin Adair,4
92725102,Puyallup 102,U S Senate,25,I,Robin Adair,6
92725103,Puyallup 103,U S Senate,25,I,Robin Adair,7
92725104,Puyallup 104,U S Senate,25,I,Robin Adair,10
92725105,Puyallup 105,U S Senate,25,I,Robin Adair,7
92725106,Puyallup 106,U S Senate,25,I,Robin Adair,4
92725107,Puyallup 107,U S Senate,25,I,Robin Adair,12
92725108,Puyallup 108,U S Senate,25,I,Robin Adair,19
92725109,Puyallup 109,U S Senate,25,I,Robin Adair,5
92725110,Puyallup 110,U S Senate,25,I,Robin Adair,3
92725111,Puyallup 111,U S Senate,25,I,Robin Adair,5
92725112,Puyallup 112,U S Senate,25,I,Robin Adair,5
92725116,Fife 116,U S Senate,25,I,Robin Adair,4
92725117,Fife 117,U S Senate,25,I,Robin Adair,2
92725118,Fife 118,U S Senate,25,I,Robin Adair,2
92725121,Milton 121,U S Senate,25,I,Robin Adair,3
92725122,Milton 122,U S Senate,25,I,Robin Adair,3
92725123,Milton 123,U S Senate,25,I,Robin Adair,2
92725124,Milton 124,U S Senate,25,I,Robin Adair,1
62725127,Tacoma 127,U S Senate,25,I,Robin Adair,0
92725128,Sumner 128,U S Senate,25,I,Robin Adair,2
92725129,Sumner129,U S Senate,25,I,Robin Adair,0
92725130,Edgewood 130,U S Senate,25,I,Robin Adair,0
92725131,Edgewood 131,U S Senate,25,I,Robin Adair,0
92725132,Edgewood 132,U S Senate,25,I,Robin Adair,4
92725135,135,U S Senate,25,I,Robin Adair,0
92725136,136,U S Senate,25,I,Robin Adair,0
92725137,137,U S Senate,25,I,Robin Adair,5
92725138,138,U S Senate,25,I,Robin Adair,5
92725139,139,U S Senate,25,I,Robin Adair,9
92725140,140,U S Senate,25,I,Robin Adair,9
62725141,141,U S Senate,25,I,Robin Adair,13
62725142,142,U S Senate,25,I,Robin Adair,0
62725143,143,U S Senate,25,I,Robin Adair,8
92725144,144,U S Senate,25,I,Robin Adair,2
92725145,145,U S Senate,25,I,Robin Adair,5
92725146,146,U S Senate,25,I,Robin Adair,3
92725147,147,U S Senate,25,I,Robin Adair,7
92725148,148,U S Senate,25,I,Robin Adair,6
92725149,149,U S Senate,25,I,Robin Adair,0
92725150,150,U S Senate,25,I,Robin Adair,8
92725151,151,U S Senate,25,I,Robin Adair,12
92725152,152,U S Senate,25,I,Robin Adair,8
92725153,153,U S Senate,25,I,Robin Adair,4
92725154,154,U S Senate,25,I,Robin Adair,0
92725155,Spanaway 155,U S Senate,25,I,Robin Adair,9
92725156,Spanaway 156,U S Senate,25,I,Robin Adair,6
92725157,Spanaway 157,U S Senate,25,I,Robin Adair,8
92725158,Spanaway 158,U S Senate,25,I,Robin Adair,0
92725159,Spanaway 159,U S Senate,25,I,Robin Adair,7
82725160,160,U S Senate,25,I,Robin Adair,9
82725161,161,U S Senate,25,I,Robin Adair,2
82725162,162,U S Senate,25,I,Robin Adair,6
82725163,163,U S Senate,25,I,Robin Adair,10
82725164,164,U S Senate,25,I,Robin Adair,13
82725165,165,U S Senate,25,I,Robin Adair,2
82725166,166,U S Senate,25,I,Robin Adair,3
82725167,167,U S Senate,25,I,Robin Adair,1
82725168,168,U S Senate,25,I,Robin Adair,6
82725169,169,U S Senate,25,I,Robin Adair,3
82725170,170,U S Senate,25,I,Robin Adair,6
82725171,171,U S Senate,25,I,Robin Adair,7
82725172,172,U S Senate,25,I,Robin Adair,8
82725173,173,U S Senate,25,I,Robin Adair,3
82725174,174,U S Senate,25,I,Robin Adair,2
82725177,177,U S Senate,25,I,Robin Adair,0
82725179,179,U S Senate,25,I,Robin Adair,0
92725180,180,U S Senate,25,I,Robin Adair,1
92725181,181,U S Senate,25,I,Robin Adair,1
62726201,Gig Harbor 201,U S Senate,26,I,Robin Adair,9
62726201,Gig Harbor 202,U S Senate,26,I,Robin Adair,11
62726211,Lakebay 211,U S Senate,26,I,Robin Adair,8
62726212,Lakebay 212,U S Senate,26,I,Robin Adair,22
62726213,Lakebay 213,U S Senate,26,I,Robin Adair,21
62726214,Lakebay 214,U S Senate,26,I,Robin Adair,6
62726215,Herron Island 215,U S Senate,26,I,Robin Adair,1
62726216,S Kitsap Penin 216,U S Senate,26,I,Robin Adair,3
62726217,S Kitsap Penin 217,U S Senate,26,I,Robin Adair,6
62726218,S Kitsap Penin 218,U S Senate,26,I,Robin Adair,5
62726219,S Kitsap Penin 219,U S Senate,26,I,Robin Adair,10
62726220,S Kitsap Penin 220,U S Senate,26,I,Robin Adair,0
62726221,S Kitsap Penin 221,U S Senate,26,I,Robin Adair,8
62726222,S Kitsap Penin 222,U S Senate,26,I,Robin Adair,2
62726223,SKP Raft Island 223,U S Senate,26,I,Robin Adair,5
62726224,S Kitsap Penin 224,U S Senate,26,I,Robin Adair,0
62726225,S Kitsap Penin 225,U S Senate,26,I,Robin Adair,5
62726226,S Kitsap Penin 226,U S Senate,26,I,Robin Adair,9
62726227,Fox Island 227,U S Senate,26,I,Robin Adair,10
62726228,S Kitsap Penin 228,U S Senate,26,I,Robin Adair,10
62726229,S Kitsap Penin 229,U S Senate,26,I,Robin Adair,6
62726230,S Kitsap Penin 230,U S Senate,26,I,Robin Adair,7
62727301,Tacoma 301,U S Senate,27,I,Robin Adair,7
62727302,Tacoma 302,U S Senate,27,I,Robin Adair,15
62727303,Tacoma 303,U S Senate,27,I,Robin Adair,7
62727304,Tacoma 304,U S Senate,27,I,Robin Adair,6
62727305,Tacoma 305,U S Senate,27,I,Robin Adair,4
62727306,Tacoma 306,U S Senate,27,I,Robin Adair,9
62727307,Tacoma 307,U S Senate,27,I,Robin Adair,8
62727308,Tacoma 308,U S Senate,27,I,Robin Adair,5
62727309,Tacoma 309,U S Senate,27,I,Robin Adair,3
62727310,Tacoma 310,U S Senate,27,I,Robin Adair,1
62727311,Tacoma 311,U S Senate,27,I,Robin Adair,3
62727312,Tacoma 312,U S Senate,27,I,Robin Adair,4
62727313,Tacoma 313,U S Senate,27,I,Robin Adair,5
62727314,Tacoma 314,U S Senate,27,I,Robin Adair,8
62727315,Tacoma 315,U S Senate,27,I,Robin Adair,1
62727316,Tacoma 316,U S Senate,27,I,Robin Adair,7
62727317,Tacoma 317,U S Senate,27,I,Robin Adair,3
62727318,Tacoma 318,U S Senate,27,I,Robin Adair,9
62727319,Tacoma 319,U S Senate,27,I,Robin Adair,8
62727321,Tacoma 321,U S Senate,27,I,Robin Adair,5
62727322,Tacoma 322,U S Senate,27,I,Robin Adair,5
62727323,Tacoma 323,U S Senate,27,I,Robin Adair,6
62727324,Tacoma 324,U S Senate,27,I,Robin Adair,14
62727325,Tacoma 325,U S Senate,27,I,Robin Adair,5
62727326,Tacoma 326,U S Senate,27,I,Robin Adair,5
62727327,Tacoma 327,U S Senate,27,I,Robin Adair,2
92727328,Tacoma 328,U S Senate,27,I,Robin Adair,2
92727329,Tacoma 329,U S Senate,27,I,Robin Adair,0
92727330,Tacoma 330,U S Senate,27,I,Robin Adair,0
92727331,Tacoma 331,U S Senate,27,I,Robin Adair,0
92727332,Tacoma 332,U S Senate,27,I,Robin Adair,8
92727333,Tacoma 333,U S Senate,27,I,Robin Adair,4
92727334,Tacoma 334,U S Senate,27,I,Robin Adair,3
92727335,Tacoma 335,U S Senate,27,I,Robin Adair,8
92727336,Tacoma 336,U S Senate,27,I,Robin Adair,6
62727337,Tacoma 337,U S Senate,27,I,Robin Adair,3
62727338,Tacoma 338,U S Senate,27,I,Robin Adair,8
62727339,Tacoma 339,U S Senate,27,I,Robin Adair,5
62727340,Tacoma 340,U S Senate,27,I,Robin Adair,9
62727341,Tacoma 341,U S Senate,27,I,Robin Adair,9
62727342,Tacoma 342,U S Senate,27,I,Robin Adair,3
62727343,Tacoma 343,U S Senate,27,I,Robin Adair,1
62727344,Tacoma 344,U S Senate,27,I,Robin Adair,4
62727345,Tacoma 345,U S Senate,27,I,Robin Adair,6
62727351,Ruston 351,U S Senate,27,I,Robin Adair,1
92727352,Fife 352,U S Senate,27,I,Robin Adair,2
92727353,Milton 353,U S Senate,27,I,Robin Adair,0
92727354,Fife 354,U S Senate,27,I,Robin Adair,0
92727356,Brown's Point 356,U S Senate,27,I,Robin Adair,11
92727357,Hylebo 357,U S Senate,27,I,Robin Adair,0
92727358,Hylebo 358,U S Senate,27,I,Robin Adair,0
62727359,359,U S Senate,27,I,Robin Adair,0
62728401,Tacoma 401,U S Senate,28,I,Robin Adair,4
62728402,Tacoma 402,U S Senate,28,I,Robin Adair,4
62728403,Tacoma 403,U S Senate,28,I,Robin Adair,3
62728404,Tacoma 404,U S Senate,28,I,Robin Adair,5
62728405,Tacoma 405,U S Senate,28,I,Robin Adair,4
62728411,Fircrest 411,U S Senate,28,I,Robin Adair,2
62728412,Fircrest 412,U S Senate,28,I,Robin Adair,6
62728413,Fircrest 413,U S Senate,28,I,Robin Adair,0
62728416,Univ Place 416,U S Senate,28,I,Robin Adair,2
62728417,Univ Place 417,U S Senate,28,I,Robin Adair,6
62728418,Univ Place 418,U S Senate,28,I,Robin Adair,11
62728419,Univ Place 419,U S Senate,28,I,Robin Adair,5
62728420,Univ Place 420,U S Senate,28,I,Robin Adair,4
62728421,Univ Place 421,U S Senate,28,I,Robin Adair,8
62728422,Univ Place 422,U S Senate,28,I,Robin Adair,6
62728423,Univ Place 423,U S Senate,28,I,Robin Adair,7
62728424,Univ Place 424,U S Senate,28,I,Robin Adair,7
62728425,Univ Place 426,U S Senate,28,I,Robin Adair,0
62728426,Lakewood 430,U S Senate,28,I,Robin Adair,8
62728427,Lakewood 431,U S Senate,28,I,Robin Adair,6
92728432,Lakewood 432,U S Senate,28,I,Robin Adair,6
92728433,Lakewood 433,U S Senate,28,I,Robin Adair,7
92728434,Lakewood 434,U S Senate,28,I,Robin Adair,9
92728435,Lakewood 435,U S Senate,28,I,Robin Adair,5
92728436,Lakewood 436,U S Senate,28,I,Robin Adair,5
62728437,Lakewood 437,U S Senate,28,I,Robin Adair,4
92728438,Lakewood 438,U S Senate,28,I,Robin Adair,6
92728439,Lakewood 439,U S Senate,28,I,Robin Adair,12
62728440,Lakewood 440,U S Senate,28,I,Robin Adair,3
62728441,Lakewood 441,U S Senate,28,I,Robin Adair,0
62728442,Lakewood 442,U S Senate,28,I,Robin Adair,0
92728443,Lakewood 443,U S Senate,28,I,Robin Adair,8
92728444,Lakewood 444,U S Senate,28,I,Robin Adair,6
92728451,Steilacoom  451,U S Senate,28,I,Robin Adair,1
92728452,Steilacoom 452,U S Senate,28,I,Robin Adair,5
92728453,Steilacoom 453,U S Senate,28,I,Robin Adair,7
92728457,Dupont 457,U S Senate,28,I,Robin Adair,0
92728458,Dupont 458,U S Senate,28,I,Robin Adair,8
62728460,460,U S Senate,28,I,Robin Adair,0
92728461,McNeill Island 461,U S Senate,28,I,Robin Adair,0
92728462,Anderson Island 462,U S Senate,28,I,Robin Adair,11
92728463,Ketron Island 463,U S Senate,28,I,Robin Adair,0
92728464,464,U S Senate,28,I,Robin Adair,5
92728465,Fort Lewis 465,U S Senate,28,I,Robin Adair,6
92728467,McChord 467,U S Senate,28,I,Robin Adair,2
92728469,Fort Lewis 469,U S Senate,28,I,Robin Adair,1
92728470,Nisqually rural 470,U S Senate,28,I,Robin Adair,0
62729500,Tacoma 500,U S Senate,29,I,Robin Adair,0
62729501,Tacoma 501,U S Senate,29,I,Robin Adair,3
62729502,Tacoma 502,U S Senate,29,I,Robin Adair,3
62729503,Tacoma 503,U S Senate,29,I,Robin Adair,4
62729504,Tacoma 504,U S Senate,29,I,Robin Adair,5
62729505,Tacoma 505,U S Senate,29,I,Robin Adair,6
62729506,Tacoma 506,U S Senate,29,I,Robin Adair,4
62729507,Tacoma 507,U S Senate,29,I,Robin Adair,8
62729508,Tacoma 508,U S Senate,29,I,Robin Adair,1
62729509,Tacoma 509,U S Senate,29,I,Robin Adair,6
62729510,Tacoma 510,U S Senate,29,I,Robin Adair,5
62729511,Tacoma 511,U S Senate,29,I,Robin Adair,9
62729512,Tacoma 512,U S Senate,29,I,Robin Adair,14
62729513,Tacoma 513,U S Senate,29,I,Robin Adair,5
62729515,Tacoma 515,U S Senate,29,I,Robin Adair,3
62729516,Tacoma 516,U S Senate,29,I,Robin Adair,11
62729517,Tacoma 517,U S Senate,29,I,Robin Adair,3
62729518,Tacoma 518,U S Senate,29,I,Robin Adair,8
62729519,Tacoma 519,U S Senate,29,I,Robin Adair,2
62729520,Tacoma 520,U S Senate,29,I,Robin Adair,7
62729521,Tacoma 521,U S Senate,29,I,Robin Adair,3
62729522,Tacoma 522,U S Senate,29,I,Robin Adair,3
62729523,Tacoma 523,U S Senate,29,I,Robin Adair,0
62729530,Univ Place 530,U S Senate,29,I,Robin Adair,2
62729531,Lakewood 531,U S Senate,29,I,Robin Adair,0
62729532,Lakewood 532,U S Senate,29,I,Robin Adair,6
62729533,Lakewood 533,U S Senate,29,I,Robin Adair,9
62729534,Lakewood 534,U S Senate,29,I,Robin Adair,9
62729535,Lakewood 535,U S Senate,29,I,Robin Adair,5
62729536,Lakewood 536,U S Senate,29,I,Robin Adair,10
92729537,Lakewood 537,U S Senate,29,I,Robin Adair,5
62729538,Lakewood 538,U S Senate,29,I,Robin Adair,0
62729545,Lakewood 545,U S Senate,29,I,Robin Adair,1
62729546,546,U S Senate,29,I,Robin Adair,0
62729548,548,U S Senate,29,I,Robin Adair,0
62729549,549,U S Senate,29,I,Robin Adair,2
62729550,550,U S Senate,29,I,Robin Adair,4
62729551,551,U S Senate,29,I,Robin Adair,0
62729552,552,U S Senate,29,I,Robin Adair,0
62729553,553,U S Senate,29,I,Robin Adair,1
62729554,554,U S Senate,29,I,Robin Adair,3
62729555,Parkland 555,U S Senate,29,I,Robin Adair,6
62729556,Parkland 556,U S Senate,29,I,Robin Adair,7
62729557,Parkland 557,U S Senate,29,I,Robin Adair,0
62729558,Parkland 558,U S Senate,29,I,Robin Adair,6
62729559,Parkland 559,U S Senate,29,I,Robin Adair,5
62729560,Parkland 560,U S Senate,29,I,Robin Adair,7
62729561,561,U S Senate,29,I,Robin Adair,0
62729562,562,U S Senate,29,I,Robin Adair,0
92729563,563,U S Senate,29,I,Robin Adair,4
92729564,564,U S Senate,29,I,Robin Adair,3
92729565,565,U S Senate,29,I,Robin Adair,6
62729566,566,U S Senate,29,I,Robin Adair,0
92731601,Edgewood 601,U S Senate,31,I,Robin Adair,5
92731602,Edgewood 602,U S Senate,31,I,Robin Adair,7
92731603,Edgewood 603,U S Senate,31,I,Robin Adair,13
92731604,Edgewood 604,U S Senate,31,I,Robin Adair,5
92731608,Pacific 608,U S Senate,31,I,Robin Adair,0
92731611,Sumner 611,U S Senate,31,I,Robin Adair,0
92731612,Sumner 612,U S Senate,31,I,Robin Adair,0
92731613,Sumner 613,U S Senate,31,I,Robin Adair,0
92731614,Sumner 614,U S Senate,31,I,Robin Adair,12
92731615,Sumner 615,U S Senate,31,I,Robin Adair,11
92731616,Sumner 616,U S Senate,31,I,Robin Adair,6
82731617,Sumner 617,U S Senate,31,I,Robin Adair,0
82731618,Auburn 618,U S Senate,31,I,Robin Adair,0
82731619,Auburn 619,U S Senate,31,I,Robin Adair,4
82731621,Bonney Lake 621,U S Senate,31,I,Robin Adair,7
82731622,Bonney Lake 622,U S Senate,31,I,Robin Adair,7
82731623,Bonney Lake 623,U S Senate,31,I,Robin Adair,9
82731624,Bonney Lake 624,U S Senate,31,I,Robin Adair,6
82731625,Bonney Lake 625,U S Senate,31,I,Robin Adair,4
82731626,Bonney Lake 626,U S Senate,31,I,Robin Adair,2
82731627,Buckley 627,U S Senate,31,I,Robin Adair,4
82731628,Buckley 628,U S Senate,31,I,Robin Adair,5
82731629,South Prairie city 629,U S Senate,31,I,Robin Adair,1
82731630,Wilkeson 630,U S Senate,31,I,Robin Adair,1
92731631,Puyallup 631,U S Senate,31,I,Robin Adair,0
92731636,Sumner 636,U S Senate,31,I,Robin Adair,0
82731638,Lake Tapps 638,U S Senate,31,I,Robin Adair,1
82731639,Lake Tapps 639,U S Senate,31,I,Robin Adair,6
82731640,Lake Tapps 640,U S Senate,31,I,Robin Adair,8
82731641,Lake Tapps 641,U S Senate,31,I,Robin Adair,0
82731642,Lake Tapps 642,U S Senate,31,I,Robin Adair,6
92731643,643,U S Senate,31,I,Robin Adair,1
92731644,644,U S Senate,31,I,Robin Adair,2
82731645,645,U S Senate,31,I,Robin Adair,2
82731646,646,U S Senate,31,I,Robin Adair,2
82731647,647,U S Senate,31,I,Robin Adair,0
82731648,648,U S Senate,31,I,Robin Adair,0
82731649,649,U S Senate,31,I,Robin Adair,0
82731650,Lake Tapps 650,U S Senate,31,I,Robin Adair,2
82731651,Lake Tapps 651,U S Senate,31,I,Robin Adair,2
82731652,Lake Tapps 652,U S Senate,31,I,Robin Adair,6
82731653,Lake Tapps 653,U S Senate,31,I,Robin Adair,10
82731654,654,U S Senate,31,I,Robin Adair,2
82731655,655,U S Senate,31,I,Robin Adair,6
82731656,656,U S Senate,31,I,Robin Adair,3
82731657,657,U S Senate,31,I,Robin Adair,2
82731658,658,U S Senate,31,I,Robin Adair,6
